ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes
60001306176,Victory High,38.815698,-121.254325,82.0,6.0,3,4,13.666666666666666,0.0054126294687604,0.0332197614991482,-4.0,0.0
60001308256,Twin Oaks Elementary,38.81,-121.2646,505.0,23.0,1,1,21.956521739130437,0.033678583361176,0.0544033775275905,-4.0,0.0
60001308257,Granite Oaks Middle,38.8209,-121.2525,967.0,48.0,2,1,20.14583333333333,0.0645506181089208,0.049776405451448,-4.0,0.0
60001308553,Spring View Middle,38.7953,-121.2409,792.0,41.0,2,1,19.317073170731707,0.0528566655529569,0.0476586196867079,-4.0,0.0
60001308763,Valley View Elementary,38.8146,-121.2408,627.0,26.0,1,1,24.115384615384617,0.0418309388573337,0.0599200629013235,-4.0,0.0
60001308764,Sierra Elementary,38.7723,-121.2172,478.0,19.0,1,1,25.157894736842103,0.0318743735382559,0.0625840581009593,-4.0,0.0
60001309069,Parker Whitney Elementary,38.7934,-121.2542,386.0,19.0,1,1,20.31578947368421,0.0257266956231206,0.0502107056397381,-4.0,0.0
60001309070,Rocklin Elementary,38.7915,-121.2284,579.0,25.0,1,1,23.16,0.0386234547276979,0.0574787052810902,-4.0,0.0
60001310270,Cobblestone Elementary,38.8021,-121.2648,412.0,19.0,1,1,21.68421052631579,0.0274640828600066,0.0537075226396485,-4.0,0.0
60001310575,Rock Creek Elementary,38.7983,-121.2798,456.0,20.0,1,1,22.8,0.0304042766455061,0.0565587734241908,-4.0,0.0
60001311009,Ruhkala Elementary,38.80289,-121.287302,313.0,13.0,1,1,24.07692307692308,0.0208486468426328,0.0598217795832787,-4.0,0.0
60001311010,Whitney High,38.8364,-121.2894,2040.0,89.0,3,1,22.921348314606742,0.1362512529234881,0.0568688628141569,1030.0,0.4428265524625268
60001312558,Sunset Ranch Elementary,38.828479,-121.274654,636.0,28.0,1,1,22.714285714285715,0.0424323421316404,0.0563397420296909,-4.0,0.0
60001314465,Rocklin Alternative Education Center,38.815698,-121.254325,97.0,4.0,4,4,24.25,0.0064149682592716,0.0602640545144804,0.0,0.0017130620985010706
60001403904,Topaz Preparatory Academy,34.4332,-117.3541,696.0,28.0,1,1,24.857142857142858,0.0464416972936852,0.0618155268921878,-4.0,0.0
60001405093,Sultana High,34.4104,-117.2867,2078.0,86.0,3,1,24.162790697674417,0.1387905111927831,0.0600412028049601,-4.0,0.0
60001407287,Shadow Ridge,34.424788,-117.31918,673.0,21.0,4,4,32.04761904761905,0.0449047778149014,0.0801898272085665,-4.0,0.0
60001407295,Mesquite Trails Elementary,34.398323,-117.360843,840.0,33.0,1,1,25.454545454545453,0.0560641496825927,0.0633421093387021,-4.0,0.0
60001408296,Hesperia Community Day,34.443814,-117.301229,11.0,1.0,3,4,11.0,0.0006682258603407,0.0264054514480408,-4.0,0.0
60001409072,Hesperia High,34.4301,-117.3477,2223.0,96.0,3,1,23.15625,0.1484797861677247,0.0574691226575809,-4.0,0.0
60001409073,Mojave High,34.444602,-117.301624,272.0,18.0,3,4,15.11111111111111,0.0181089208152355,0.0369108461101646,-4.0,0.0
60001409074,Joshua Circle Elementary,34.43488,-117.316527,648.0,27.0,1,1,24.0,0.0432342131640494,0.0596252129471891,-4.0,0.0
60001409075,Juniper Elementary,34.4221,-117.2819,676.0,29.0,1,1,23.310344827586206,0.0451052455730036,0.0578628913822475,-4.0,0.0
60001409076,Eucalyptus Elementary,34.454719,-117.318821,698.0,28.0,1,1,24.928571428571427,0.0465753424657534,0.0619980530542711,-4.0,0.0
